xflr5 v6.61

Plane name :, 10_2412
Polar name :, T1-26.7 m/s-VLM1
Freestream speed :, 26.7 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -3.000,     0.000,  -0.064593,   0.000261,   0.010189,   0.010450,   0.000000,  -0.000000,  -0.036168,  -0.000000,   0.000000,   26.7000,   -0.1526
   -2.500,     0.000,  -0.028232,   0.000076,   0.010004,   0.010080,   0.000000,  -0.000000,  -0.044850,  -0.000000,   0.000000,   26.7000,   -0.4324
   -2.000,     0.000,   0.008140,   0.000040,   0.009848,   0.009888,  -0.000000,  -0.000000,  -0.053538,  -0.000000,  -0.000000,   26.7000,    1.7883
   -1.500,     0.000,   0.044515,   0.000154,   0.009712,   0.009866,  -0.000000,  -0.000000,  -0.062229,  -0.000000,   0.000000,   26.7000,    0.3797
   -1.000,     0.000,   0.080888,   0.000416,   0.009609,   0.010026,   0.000000,  -0.000000,  -0.070921,  -0.000000,  -0.000000,   26.7000,    0.2380
   -0.500,     0.000,   0.117251,   0.000828,   0.009530,   0.010358,   0.000000,  -0.000000,  -0.079611,  -0.000000,   0.000000,   26.7000,    0.1841
    0.000,     0.000,   0.153598,   0.001389,   0.009555,   0.010943,   0.000000,   0.000000,  -0.088296,  -0.000000,  -0.000000,   26.7000,    0.1558
    0.500,     0.000,   0.189922,   0.002098,   0.009724,   0.011822,   0.000000,   0.000000,  -0.096975,  -0.000000,  -0.000000,   26.7000,    0.1383
    1.000,     0.000,   0.226217,   0.002956,   0.009915,   0.012871,   0.000000,   0.000000,  -0.105646,  -0.000000,  -0.000000,   26.7000,    0.1265
    1.500,     0.000,   0.262476,   0.003962,   0.010113,   0.014075,   0.000000,   0.000000,  -0.114306,  -0.000000,   0.000000,   26.7000,    0.1179
    2.000,     0.000,   0.298692,   0.005115,   0.010291,   0.015406,   0.000000,   0.000000,  -0.122952,  -0.000000,  -0.000000,   26.7000,    0.1114
    2.500,     0.000,   0.334859,   0.006414,   0.010450,   0.016863,   0.000000,   0.000000,  -0.131582,  -0.000000,  -0.000000,   26.7000,    0.1064
    3.000,     0.000,   0.370969,   0.007859,   0.010599,   0.018458,   0.000000,   0.000000,  -0.140193,   0.000000,   0.000000,   26.7000,    0.1023
