xflr5 v6.61

Plane name :, 06_2412
Polar name :, T1-26.7 m/s-VLM1
Freestream speed :, 26.7 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -3.000,     0.000,  -0.067158,   0.000267,   0.010213,   0.010480,   0.000000,  -0.000000,  -0.028748,  -0.000000,  -0.000000,   26.7000,   -0.1190
   -2.500,     0.000,  -0.029821,   0.000067,   0.010027,   0.010093,   0.000000,  -0.000000,  -0.041787,  -0.000000,  -0.000000,   26.7000,   -0.3883
   -2.000,     0.000,   0.007526,   0.000022,   0.009866,   0.009888,   0.000000,  -0.000000,  -0.054837,  -0.000000,  -0.000000,   26.7000,    2.0150
   -1.500,     0.000,   0.044877,   0.000132,   0.009728,   0.009860,   0.000000,  -0.000000,  -0.067891,   0.000000,  -0.000000,   26.7000,    0.4178
   -1.000,     0.000,   0.082225,   0.000397,   0.009622,   0.010019,   0.000000,  -0.000000,  -0.080948,  -0.000000,  -0.000000,   26.7000,    0.2716
   -0.500,     0.000,   0.119562,   0.000817,   0.009541,   0.010359,   0.000000,  -0.000000,  -0.094002,  -0.000000,  -0.000000,   26.7000,    0.2168
    0.000,     0.000,   0.156882,   0.001392,   0.009552,   0.010945,   0.000000,  -0.000000,  -0.107051,   0.000000,  -0.000000,   26.7000,    0.1880
    0.500,     0.000,   0.194179,   0.002121,   0.009737,   0.011858,   0.000000,  -0.000000,  -0.120091,   0.000000,  -0.000000,   26.7000,    0.1703
    1.000,     0.000,   0.231444,   0.003005,   0.009935,   0.012940,   0.000000,  -0.000000,  -0.133120,  -0.000000,  -0.000000,   26.7000,    0.1583
    1.500,     0.000,   0.268671,   0.004042,   0.010137,   0.014179,   0.000000,   0.000000,  -0.146132,  -0.000000,  -0.000000,   26.7000,    0.1497
    2.000,     0.000,   0.305854,   0.005232,   0.010328,   0.015559,   0.000000,   0.000000,  -0.159125,  -0.000000,  -0.000000,   26.7000,    0.1432
    2.500,     0.000,   0.342985,   0.006574,   0.010489,   0.017063,   0.000000,   0.000000,  -0.172094,  -0.000000,  -0.000000,   26.7000,    0.1381
    3.000,     0.000,   0.380059,   0.008067,   0.010643,   0.018710,   0.000000,   0.000000,  -0.185035,  -0.000000,  -0.000000,   26.7000,    0.1340
    3.500,     0.000,   0.417066,   0.009710,   0.010791,   0.020501,   0.000000,   0.000000,  -0.197944,   0.000000,  -0.000000,   26.7000,    0.1306
