xflr5 v6.61

Plane name :, 09_2412
Polar name :, T1-26.7 m/s-VLM1
Freestream speed :, 26.7 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -3.000,     0.000,  -0.065159,   0.000263,   0.010186,   0.010449,   0.000000,  -0.000000,  -0.034645,   0.000000,   0.000000,   26.7000,   -0.1452
   -2.500,     0.000,  -0.028567,   0.000074,   0.010002,   0.010076,   0.000000,  -0.000000,  -0.044280,   0.000000,  -0.000000,   26.7000,   -0.4224
   -2.000,     0.000,   0.008035,   0.000036,   0.009846,   0.009882,   0.000000,  -0.000000,  -0.053922,  -0.000000,  -0.000000,   26.7000,    1.8265
   -1.500,     0.000,   0.044641,   0.000149,   0.009710,   0.009859,   0.000000,  -0.000000,  -0.063568,   0.000000,  -0.000000,   26.7000,    0.3872
   -1.000,     0.000,   0.081244,   0.000412,   0.009607,   0.010020,   0.000000,   0.000000,  -0.073214,   0.000000,  -0.000000,   26.7000,    0.2448
   -0.500,     0.000,   0.117837,   0.000826,   0.009528,   0.010354,   0.000000,   0.000000,  -0.082859,   0.000000,  -0.000000,   26.7000,    0.1909
    0.000,     0.000,   0.154414,   0.001391,   0.009550,   0.010941,   0.000000,   0.000000,  -0.092499,  -0.000000,  -0.000000,   26.7000,    0.1625
    0.500,     0.000,   0.190968,   0.002105,   0.009723,   0.011829,   0.000000,   0.000000,  -0.102132,  -0.000000,  -0.000000,   26.7000,    0.1450
    1.000,     0.000,   0.227493,   0.002970,   0.009917,   0.012886,   0.000000,   0.000000,  -0.111756,  -0.000000,  -0.000000,   26.7000,    0.1332
    1.500,     0.000,   0.263981,   0.003984,   0.010116,   0.014100,   0.000000,   0.000000,  -0.121368,  -0.000000,   0.000000,   26.7000,    0.1246
    2.000,     0.000,   0.300425,   0.005146,   0.010298,   0.015444,   0.000000,   0.000000,  -0.130965,  -0.000000,   0.000000,   26.7000,    0.1181
    2.500,     0.000,   0.336820,   0.006456,   0.010458,   0.016914,   0.000000,   0.000000,  -0.140544,   0.000000,   0.000000,   26.7000,    0.1130
    3.000,     0.000,   0.373158,   0.007913,   0.010609,   0.018522,   0.000000,   0.000000,  -0.150102,   0.000000,   0.000000,   26.7000,    0.1090
    3.500,     0.000,   0.409433,   0.009517,   0.010754,   0.020271,   0.000000,   0.000000,  -0.159636,  -0.000000,   0.000000,   26.7000,    0.1056
    4.000,     0.000,   0.445639,   0.011265,   0.010911,   0.022176,   0.000000,   0.000000,  -0.169144,   0.000000,   0.000000,   26.7000,    0.1028
    4.500,     0.000,   0.481768,   0.013157,   0.011096,   0.024253,   0.000000,   0.000000,  -0.178622,  -0.000000,  -0.000000,   26.7000,    0.1005
    5.000,     0.000,   0.517815,   0.015192,   0.011314,   0.026506,   0.000000,   0.000000,  -0.188069,  -0.000000,   0.000000,   26.7000,    0.0985
    5.500,     0.000,   0.553772,   0.017368,   0.011554,   0.028922,   0.000000,   0.000000,  -0.197482,  -0.000000,  -0.000000,   26.7000,    0.0967
    6.000,     0.000,   0.589633,   0.019683,   0.011814,   0.031497,   0.000000,   0.000000,  -0.206857,  -0.000000,   0.000000,   26.7000,    0.0952
    6.500,     0.000,   0.625393,   0.022136,   0.012093,   0.034229,   0.000000,   0.000000,  -0.216192,   0.000000,   0.000000,   26.7000,    0.0938
    7.000,     0.000,   0.661044,   0.024726,   0.012390,   0.037116,   0.000000,   0.000000,  -0.225484,  -0.000000,  -0.000000,   26.7000,    0.0926
    7.500,     0.000,   0.696580,   0.027450,   0.012707,   0.040157,   0.000000,   0.000000,  -0.234731,  -0.000000,   0.000000,   26.7000,    0.0916
    8.000,     0.000,   0.731995,   0.030306,   0.013043,   0.043349,   0.000000,   0.000000,  -0.243930,  -0.000000,   0.000000,   26.7000,    0.0906
    8.500,     0.000,   0.767283,   0.033293,   0.013401,   0.046694,   0.000000,   0.000000,  -0.253078,  -0.000000,   0.000000,   26.7000,    0.0898
    9.000,     0.000,   0.802438,   0.036408,   0.013781,   0.050189,   0.000000,   0.000000,  -0.262173,  -0.000000,   0.000000,   26.7000,    0.0890
    9.500,     0.000,   0.837453,   0.039649,   0.014188,   0.053836,   0.000000,   0.000000,  -0.271213,   0.000000,  -0.000000,   26.7000,    0.0883
   10.000,     0.000,   0.872323,   0.043013,   0.014624,   0.057637,   0.000000,   0.000000,  -0.280194,  -0.000000,  -0.000000,   26.7000,    0.0877
   10.500,     0.000,   0.907041,   0.046499,   0.015091,   0.061590,   0.000000,   0.000000,  -0.289115,   0.000000,  -0.000000,   26.7000,    0.0871
   11.000,     0.000,   0.941602,   0.050104,   0.015594,   0.065698,   0.000000,   0.000000,  -0.297973,  -0.000000,  -0.000000,   26.7000,    0.0866
   11.500,     0.000,   0.976000,   0.053824,   0.016138,   0.069962,   0.000000,   0.000000,  -0.306766,   0.000000,   0.000000,   26.7000,    0.0861
