xflr5 v6.61

Plane name :, 05_2412
Polar name :, T1-26.7 m/s-VLM1
Freestream speed :, 26.7 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -3.000,     0.000,  -0.067415,   0.000267,   0.010202,   0.010469,   0.000000,   0.000000,  -0.026130,  -0.000000,   0.000000,   26.7000,   -0.1101
   -2.500,     0.000,  -0.030003,   0.000064,   0.010015,   0.010079,   0.000000,   0.000000,  -0.040576,   0.000000,  -0.000000,   26.7000,   -0.3824
   -2.000,     0.000,   0.007420,   0.000018,   0.009855,   0.009873,   0.000000,   0.000000,  -0.055032,   0.000000,  -0.000000,   26.7000,    2.0926
   -1.500,     0.000,   0.044845,   0.000128,   0.009716,   0.009845,   0.000000,   0.000000,  -0.069494,   0.000000,  -0.000000,   26.7000,    0.4365
   -1.000,     0.000,   0.082267,   0.000395,   0.009610,   0.010005,   0.000000,   0.000000,  -0.083959,  -0.000000,  -0.000000,   26.7000,    0.2872
   -0.500,     0.000,   0.119679,   0.000818,   0.009529,   0.010347,   0.000000,   0.000000,  -0.098421,   0.000000,  -0.000000,   26.7000,    0.2312
    0.000,     0.000,   0.157073,   0.001397,   0.009534,   0.010931,   0.000000,   0.000000,  -0.112878,  -0.000000,  -0.000000,   26.7000,    0.2019
    0.500,     0.000,   0.194443,   0.002132,   0.009720,   0.011852,   0.000000,   0.000000,  -0.127324,  -0.000000,  -0.000000,   26.7000,    0.1839
    1.000,     0.000,   0.231781,   0.003022,   0.009918,   0.012940,   0.000000,   0.000000,  -0.141758,   0.000000,  -0.000000,   26.7000,    0.1717
    1.500,     0.000,   0.269082,   0.004067,   0.010119,   0.014186,   0.000000,  -0.000000,  -0.156174,  -0.000000,  -0.000000,   26.7000,    0.1629
    2.000,     0.000,   0.306337,   0.005267,   0.010311,   0.015577,   0.000000,  -0.000000,  -0.170569,   0.000000,  -0.000000,   26.7000,    0.1563
    2.500,     0.000,   0.343540,   0.006620,   0.010471,   0.017090,   0.000000,   0.000000,  -0.184937,  -0.000000,  -0.000000,   26.7000,    0.1511
    3.000,     0.000,   0.380684,   0.008125,   0.010623,   0.018748,   0.000000,   0.000000,  -0.199274,   0.000000,   0.000000,   26.7000,    0.1469
    3.500,     0.000,   0.417763,   0.009782,   0.010771,   0.020553,   0.000000,   0.000000,  -0.213576,   0.000000,   0.000000,   26.7000,    0.1435
    4.000,     0.000,   0.454769,   0.011589,   0.010924,   0.022512,   0.000000,   0.000000,  -0.227839,   0.000000,  -0.000000,   26.7000,    0.1407
    4.500,     0.000,   0.491697,   0.013545,   0.011096,   0.024641,   0.000000,  -0.000000,  -0.242058,   0.000000,   0.000000,   26.7000,    0.1383
