xflr5 v6.61

Plane name :, 07_2412
Polar name :, T1-26.7 m/s-VLM1
Freestream speed :, 26.7 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -3.000,     0.000,  -0.066345,   0.000266,   0.010189,   0.010454,   0.000000,  -0.000000,  -0.030916,  -0.000000,  -0.000000,   26.7000,   -0.1286
   -2.500,     0.000,  -0.029296,   0.000070,   0.010004,   0.010074,   0.000000,  -0.000000,  -0.042763,   0.000000,  -0.000000,   26.7000,   -0.4019
   -2.000,     0.000,   0.007764,   0.000027,   0.009846,   0.009873,   0.000000,  -0.000000,  -0.054617,   0.000000,  -0.000000,   26.7000,    1.9336
   -1.500,     0.000,   0.044827,   0.000138,   0.009710,   0.009848,   0.000000,  -0.000000,  -0.066477,   0.000000,  -0.000000,   26.7000,    0.4071
   -1.000,     0.000,   0.081887,   0.000403,   0.009606,   0.010010,   0.000000,  -0.000000,  -0.078339,  -0.000000,  -0.000000,   26.7000,    0.2624
   -0.500,     0.000,   0.118936,   0.000822,   0.009527,   0.010349,   0.000000,  -0.000000,  -0.090198,   0.000000,  -0.000000,   26.7000,    0.2078
    0.000,     0.000,   0.155969,   0.001394,   0.009543,   0.010937,   0.000000,  -0.000000,  -0.102052,   0.000000,  -0.000000,   26.7000,    0.1792
    0.500,     0.000,   0.192979,   0.002120,   0.009723,   0.011842,   0.000000,  -0.000000,  -0.113898,   0.000000,  -0.000000,   26.7000,    0.1616
    1.000,     0.000,   0.229957,   0.002998,   0.009919,   0.012917,   0.000000,   0.000000,  -0.125733,  -0.000000,  -0.000000,   26.7000,    0.1496
    1.500,     0.000,   0.266899,   0.004028,   0.010120,   0.014149,   0.000000,   0.000000,  -0.137554,   0.000000,  -0.000000,   26.7000,    0.1410
    2.000,     0.000,   0.303796,   0.005211,   0.010309,   0.015519,   0.000000,   0.000000,  -0.149356,   0.000000,  -0.000000,   26.7000,    0.1345
    2.500,     0.000,   0.340642,   0.006544,   0.010470,   0.017014,   0.000000,   0.000000,  -0.161137,  -0.000000,   0.000000,   26.7000,    0.1294
    3.000,     0.000,   0.377431,   0.008027,   0.010624,   0.018650,   0.000000,   0.000000,  -0.172892,   0.000000,  -0.000000,   26.7000,    0.1253
    3.500,     0.000,   0.414155,   0.009659,   0.010771,   0.020430,   0.000000,   0.000000,  -0.184618,   0.000000,   0.000000,   26.7000,    0.1219
    4.000,     0.000,   0.450808,   0.011438,   0.010923,   0.022362,   0.000000,   0.000000,  -0.196312,  -0.000000,  -0.000000,   26.7000,    0.1191
    4.500,     0.000,   0.487384,   0.013365,   0.011095,   0.024460,   0.000000,  -0.000000,  -0.207970,  -0.000000,  -0.000000,   26.7000,    0.1168
    5.000,     0.000,   0.523875,   0.015437,   0.011312,   0.026748,   0.000000,   0.000000,  -0.219589,  -0.000000,  -0.000000,   26.7000,    0.1147
    5.500,     0.000,   0.560274,   0.017652,   0.011554,   0.029206,   0.000000,   0.000000,  -0.231167,   0.000000,   0.000000,   26.7000,    0.1130
    6.000,     0.000,   0.596577,   0.020010,   0.011817,   0.031827,   0.000000,   0.000000,  -0.242699,  -0.000000,   0.000000,   26.7000,    0.1115
    6.500,     0.000,   0.632775,   0.022509,   0.012097,   0.034606,   0.000000,   0.000000,  -0.254182,  -0.000000,   0.000000,   26.7000,    0.1101
    7.000,     0.000,   0.668863,   0.025146,   0.012396,   0.037542,   0.000000,   0.000000,  -0.265613,  -0.000000,  -0.000000,   26.7000,    0.1089
    7.500,     0.000,   0.704834,   0.027921,   0.012712,   0.040633,   0.000000,   0.000000,  -0.276988,   0.000000,   0.000000,   26.7000,    0.1079
    8.000,     0.000,   0.740681,   0.030830,   0.013049,   0.043880,   0.000000,   0.000000,  -0.288304,  -0.000000,  -0.000000,   26.7000,    0.1069
    8.500,     0.000,   0.776399,   0.033873,   0.013408,   0.047280,   0.000000,   0.000000,  -0.299558,   0.000000,   0.000000,   26.7000,    0.1061
    9.000,     0.000,   0.811981,   0.037046,   0.013787,   0.050833,   0.000000,   0.000000,  -0.310747,  -0.000000,  -0.000000,   26.7000,    0.1053
    9.500,     0.000,   0.847422,   0.040348,   0.014191,   0.054538,   0.000000,   0.000000,  -0.321868,  -0.000000,  -0.000000,   26.7000,    0.1046
   10.000,     0.000,   0.882714,   0.043775,   0.014621,   0.058396,   0.000000,   0.000000,  -0.332917,  -0.000000,   0.000000,   26.7000,    0.1040
   10.500,     0.000,   0.917852,   0.047326,   0.015082,   0.062408,   0.000000,   0.000000,  -0.343892,  -0.000000,  -0.000000,   26.7000,    0.1035
   11.000,     0.000,   0.952830,   0.050998,   0.015577,   0.066575,   0.000000,   0.000000,  -0.354790,  -0.000000,   0.000000,   26.7000,    0.1029
   11.500,     0.000,   0.987641,   0.054789,   0.016108,   0.070897,   0.000000,   0.000000,  -0.365608,   0.000000,   0.000000,   26.7000,    0.1025
   12.000,     0.000,   1.022281,   0.058695,   0.016683,   0.075377,   0.000000,   0.000000,  -0.376343,  -0.000000,  -0.000000,   26.7000,    0.1020
   12.500,     0.000,   1.056744,   0.062713,   0.017307,   0.080021,   0.000000,   0.000000,  -0.386993,  -0.000000,  -0.000000,   26.7000,    0.1017
   13.000,     0.000,   1.091023,   0.066841,   0.017996,   0.084837,   0.000000,   0.000000,  -0.397556,  -0.000000,  -0.000000,   26.7000,    0.1013
   13.500,     0.000,   1.125114,   0.071076,   0.018773,   0.089849,   0.000000,   0.000000,  -0.408032,  -0.000000,  -0.000000,   26.7000,    0.1010
   14.000,     0.000,   1.159010,   0.075414,   0.019701,   0.095115,   0.000000,   0.000000,  -0.418422,  -0.000000,  -0.000000,   26.7000,    0.1007
   14.500,     0.000,   1.192707,   0.079853,   0.020836,   0.100689,   0.000000,   0.000000,  -0.428729,  -0.000000,  -0.000000,   26.7000,    0.1004
