"In-flight Analysis - Untitled","","","","","","","","","","","","","","","","",""
"200ft above Sea Level, 29.92inHg, 58°F","","","","","","","","","","","","","","","","",""

"Motor:",""," Scorpion SII-4025-520; 520rpm/V; 1.4A no-load; 0.016 Ohms.","","","","","","","","","","","","","","","",""
"Battery:",""," Thunder Power TP5000 (G4 ProPower 45C) (45C); 7 cells; 5000mAh @ 3.7V; 0.001 Ohms/cell.","","","","","","","","","","","","","","","",""
"Speed Control:",""," Generic Brushless ESC; 0.006 Ohms; High rate.","","","","","","","","","","","","","","","",""
"Drive System:",""," Theoretical Prop; 10x8 (Pconst=1.31; Tconst=0.95) direct drive.","","","","","","","","","","","","","","","",""
"Airframe:",""," DBF Test 1; 720sq.in; 162.6oz RTF; 32.5oz/sq.ft; Cd=0.047; Cl=0.4; Clopt=0.53; Clmax=0.99.","","","","","","","","","","","","","","","",""
"Stats:",""," 90 W/lb in; 85 W/lb out; 29mph stall; 40mph opt @ 58% (42:25, 87°F); 47mph level @ 64% (33:29, 91°F); 1224ft/min @ 20.1°; -386ft/min @ -6.2°.","","","","","","","","","","","","","","","",""

"AirSpd (mph)","Drag (oz)","Lift (oz)","Batt Amps","Motor Amps","Motor Volts","Input (W)","Loss (W)","MGbOut (W)","MotGb Ef(%)","Shaft Ef(%)","Prop RPM","Thrust (oz)","PSpd (mph)","Prop Ef(%)","Total Ef(%)","Time (m:s)"
0.0,0.0,0.0,36.1,36.1,25.4,918.5,58.5,860.0,93.6,91.9,12881,88.4,97.6,0.0,0.0,8:18
1.0,0.0,0.1,36.1,36.1,25.4,918.5,58.5,860.0,93.6,91.9,12881,87.9,96.6,1.3,1.2,8:18
2.0,0.0,0.3,36.1,36.1,25.4,918.5,58.5,860.0,93.6,91.9,12881,87.5,95.6,2.5,2.3,8:18
3.0,0.1,0.7,36.1,36.1,25.4,918.5,58.5,860.0,93.6,91.9,12881,87.0,94.6,3.8,3.5,8:18
4.0,0.1,1.2,36.1,36.1,25.4,918.6,58.5,860.1,93.6,91.9,12881,86.6,93.6,5.0,4.6,8:18
5.0,0.2,1.9,36.1,36.1,25.4,919.1,58.5,860.6,93.6,91.9,12880,86.2,92.6,6.2,5.7,8:18
6.0,0.3,2.7,36.2,36.2,25.4,919.8,58.6,861.2,93.6,91.9,12880,85.8,91.6,7.4,6.8,8:18
7.0,0.4,3.7,36.2,36.2,25.4,920.4,58.6,861.8,93.6,91.9,12880,85.4,90.6,8.6,7.9,8:17
8.0,0.6,4.8,36.2,36.2,25.4,921.3,58.6,862.6,93.6,91.9,12879,85.0,89.6,9.8,9.0,8:17
9.0,0.7,6.1,36.3,36.3,25.4,922.1,58.7,863.4,93.6,91.9,12878,84.7,88.6,10.9,10.1,8:16
10.0,0.9,7.5,36.3,36.3,25.4,923.0,58.7,864.3,93.6,91.9,12878,84.3,87.6,12.1,11.1,8:16
11.0,1.1,9.0,36.3,36.3,25.4,924.0,58.8,865.2,93.6,91.9,12877,83.9,86.6,13.2,12.2,8:15
12.0,1.3,10.8,36.4,36.4,25.4,925.0,58.9,866.2,93.6,91.9,12876,83.6,85.6,14.4,13.2,8:15
13.0,1.5,12.6,36.4,36.4,25.4,926.1,58.9,867.2,93.6,91.9,12876,83.2,84.5,15.5,14.2,8:14
14.0,1.7,14.7,36.5,36.5,25.4,927.2,59.0,868.3,93.6,91.9,12875,82.9,83.5,16.6,15.2,8:14
15.0,2.0,16.8,36.5,36.5,25.4,928.4,59.0,869.3,93.6,91.9,12874,82.5,82.5,17.7,16.2,8:13
16.0,2.3,19.1,36.6,36.6,25.4,929.6,59.1,870.5,93.6,91.9,12873,82.2,81.5,18.7,17.2,8:12
17.0,2.6,21.6,36.6,36.6,25.4,930.8,59.2,871.6,93.6,91.9,12872,81.8,80.5,19.8,18.2,8:12
18.0,2.9,24.2,36.7,36.7,25.4,932.0,59.2,872.8,93.6,91.9,12872,81.5,79.5,20.8,19.2,8:11
19.0,3.2,27.0,36.7,36.7,25.4,933.3,59.3,874.0,93.6,91.9,12871,81.1,78.5,21.9,20.1,8:10
20.0,3.5,29.9,36.8,36.8,25.4,934.6,59.4,875.2,93.6,91.9,12870,80.8,77.5,22.9,21.0,8:10
21.0,3.9,33.0,36.8,36.8,25.4,935.7,59.4,876.3,93.6,91.9,12869,80.4,76.5,23.9,22.0,8:09
22.0,4.3,36.2,36.9,36.9,25.4,937.0,59.5,877.5,93.6,91.9,12868,80.1,75.5,24.9,22.9,8:08
23.0,4.7,39.6,36.9,36.9,25.4,938.2,59.6,878.6,93.7,91.9,12867,79.7,74.5,25.9,23.8,8:08
24.0,5.1,43.1,37.0,37.0,25.4,939.4,59.6,879.8,93.7,91.9,12866,79.4,73.5,26.9,24.7,8:07
25.0,5.5,46.7,37.0,37.0,25.4,940.5,59.7,880.8,93.7,91.9,12866,79.0,72.5,27.8,25.6,8:06
26.0,6.0,50.5,37.0,37.0,25.4,941.7,59.8,881.9,93.7,91.9,12865,78.7,71.5,28.8,26.4,8:06
27.0,6.5,54.5,37.1,37.1,25.4,942.7,59.8,882.9,93.7,91.9,12864,78.3,70.5,29.7,27.3,8:05
28.0,7.0,58.6,37.1,37.1,25.4,943.8,59.9,883.9,93.7,91.9,12863,77.9,69.5,30.6,28.1,8:05
29.0,7.5,62.9,37.2,37.2,25.4,944.8,59.9,884.8,93.7,91.9,12863,77.5,68.4,31.5,29.0,8:04
30.0,8.0,67.3,37.2,37.2,25.4,945.7,60.0,885.7,93.7,91.9,12862,77.1,67.4,32.4,29.8,8:04
