"In-flight Analysis - Untitled","","","","","","","","","","","","","","","","",""
"200ft above Sea Level, 29.92inHg, 58°F","","","","","","","","","","","","","","","","",""

"Motor:",""," Scorpion SII-4025-520; 520rpm/V; 1.4A no-load; 0.016 Ohms.","","","","","","","","","","","","","","","",""
"Battery:",""," Thunder Power TP5000 (G4 ProPower 45C) (45C); 7 cells; 5000mAh @ 3.7V; 0.001 Ohms/cell.","","","","","","","","","","","","","","","",""
"Speed Control:",""," Generic Brushless ESC; 0.006 Ohms; High rate.","","","","","","","","","","","","","","","",""
"Drive System:",""," Theoretical Prop; 10x6 (Pconst=1.31; Tconst=0.95) direct drive.","","","","","","","","","","","","","","","",""
"Airframe:",""," DBF Test 1; 720sq.in; 162.6oz RTF; 32.5oz/sq.ft; Cd=0.047; Cl=0.4; Clopt=0.53; Clmax=0.99.","","","","","","","","","","","","","","","",""
"Stats:",""," 70 W/lb in; 66 W/lb out; 29mph stall; 40mph opt @ 77% (35:59, 95°F); 47mph level @ 85% (31:27, 99°F); 776ft/min @ 12.6°; -386ft/min @ -6.2°.","","","","","","","","","","","","","","","",""

"AirSpd (mph)","Drag (oz)","Lift (oz)","Batt Amps","Motor Amps","Motor Volts","Input (W)","Loss (W)","MGbOut (W)","MotGb Ef(%)","Shaft Ef(%)","Prop RPM","Thrust (oz)","PSpd (mph)","Prop Ef(%)","Total Ef(%)","Time (m:s)"
0.0,0.0,0.0,28.0,28.0,25.5,714.9,49.1,665.9,93.1,91.8,13019,82.6,74.0,0.0,0.0,10:43
1.0,0.0,0.1,28.0,28.0,25.5,714.9,49.1,665.9,93.1,91.8,13019,82.1,73.0,1.5,1.4,10:43
2.0,0.0,0.3,28.0,28.0,25.5,714.9,49.1,665.9,93.1,91.8,13019,81.5,72.0,3.0,2.8,10:43
3.0,0.1,0.7,28.0,28.0,25.5,714.9,49.1,665.9,93.1,91.8,13019,81.0,71.0,4.5,4.2,10:43
4.0,0.1,1.2,28.0,28.0,25.5,715.1,49.1,666.0,93.1,91.8,13019,80.4,70.0,6.0,5.5,10:43
5.0,0.2,1.9,28.0,28.0,25.5,715.4,49.1,666.3,93.1,91.8,13018,79.9,69.0,7.4,6.8,10:43
6.0,0.3,2.7,28.0,28.0,25.5,715.8,49.1,666.7,93.1,91.8,13018,79.4,68.0,8.9,8.1,10:42
7.0,0.4,3.7,28.0,28.0,25.5,716.2,49.1,667.1,93.1,91.8,13018,78.9,67.0,10.3,9.4,10:42
8.0,0.6,4.8,28.1,28.1,25.5,716.7,49.1,667.6,93.1,91.8,13018,78.4,66.0,11.6,10.7,10:41
9.0,0.7,6.1,28.1,28.1,25.5,717.3,49.1,668.1,93.1,91.8,13017,77.9,65.0,13.0,11.9,10:41
10.0,0.9,7.5,28.1,28.1,25.5,717.8,49.2,668.7,93.2,91.8,13017,77.4,64.0,14.3,13.2,10:40
11.0,1.1,9.0,28.1,28.1,25.5,718.3,49.2,669.2,93.2,91.8,13016,76.9,63.0,15.7,14.4,10:40
12.0,1.3,10.8,28.2,28.2,25.5,718.9,49.2,669.7,93.2,91.8,13016,76.4,62.0,17.0,15.6,10:39
13.0,1.5,12.6,28.2,28.2,25.5,719.4,49.2,670.2,93.2,91.8,13016,75.9,61.0,18.3,16.8,10:39
14.0,1.7,14.7,28.2,28.2,25.5,719.9,49.2,670.7,93.2,91.8,13015,75.4,60.0,19.5,17.9,10:38
15.0,2.0,16.8,28.2,28.2,25.5,720.4,49.3,671.2,93.2,91.8,13015,74.9,59.0,20.7,19.1,10:38
